Name, Eveduco,Destination, 32,Total Wait, 5,	Wait at Stop, 1,	Time on bus, 4,
Name, Eveduco,Destination, 32,Total Wait, 5,	Wait at Stop, 1,	Time on bus, 4,
Name, Natrequisor,Destination, 32,Total Wait, 5,	Wait at Stop, 2,	Time on bus, 3,
Name, Eveduco,Destination, 32,Total Wait, 5,	Wait at Stop, 1,	Time on bus, 4,
Name, Natrequisor,Destination, 32,Total Wait, 5,	Wait at Stop, 2,	Time on bus, 3,
Name, Natrorbisum,Destination, 32,Total Wait, 4,	Wait at Stop, 2,	Time on bus, 2,
Name, Natriaceaxia,Destination, 33,Total Wait, 7,	Wait at Stop, 4,	Time on bus, 3,
Name, Xanhumaxia,Destination, 30,Total Wait, 7,	Wait at Stop, 3,	Time on bus, 4,
Name, Xanhumaxia,Destination, 30,Total Wait, 7,	Wait at Stop, 3,	Time on bus, 4,
Name, Naranimox,Destination, 30,Total Wait, 5,	Wait at Stop, 1,	Time on bus, 4,
Name, Belloculimus,Destination, 15,Total Wait, 9,	Wait at Stop, 2,	Time on bus, 7,
Name, Evequisox,Destination, 32,Total Wait, 10,	Wait at Stop, 5,	Time on bus, 5,
Name, Evequisox,Destination, 32,Total Wait, 10,	Wait at Stop, 5,	Time on bus, 5,
Name, Xananimitur,Destination, 32,Total Wait, 6,	Wait at Stop, 2,	Time on bus, 4,
Name, Evequisox,Destination, 32,Total Wait, 10,	Wait at Stop, 5,	Time on bus, 5,
Name, Xananimitur,Destination, 32,Total Wait, 6,	Wait at Stop, 2,	Time on bus, 4,
Name, Natrineptox,Destination, 32,Total Wait, 3,	Wait at Stop, 1,	Time on bus, 2,
Name, Bellaesimus,Destination, 47,Total Wait, 6,	Wait at Stop, 4,	Time on bus, 2,
Name, Bellaesimus,Destination, 47,Total Wait, 6,	Wait at Stop, 4,	Time on bus, 2,
Name, Evhumorex,Destination, 47,Total Wait, 5,	Wait at Stop, 3,	Time on bus, 2,
Name, Belequio,Destination, 38,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
Name, Belequio,Destination, 38,Total Wait, 12,	Wait at Stop, 7,	Time on bus, 5,
